episode_id,mode,target,seed,success,failure_reason,detection_success,target_selection_correct,candidate_generation_success,candidate_count,accepted_count,ik_reachable,grasp_success,end_to_end_success,detection_s,grasp_generation_s,graspnet_inference_s,planning_s,execution_s,total_s,lift_m,tool_object_distance_m,source_output
open-vocab-graspnet_bottle_seed18,open-vocab-graspnet,bottle,18,True,,True,True,True,1015,6,True,True,True,0.08933752600000844,6.609023624000088,5.907570306000025,0.08645532699995329,2.4689711500000158,11.714943370000015,0.1178358723041403,0.028284645960046265,/home/ubuntu/open-vocab-grasping/outputs/20260815_001819_178381_run_seed18
open-vocab-graspnet_bottle_seed19,open-vocab-graspnet,bottle,19,True,,True,True,True,1006,3,True,True,True,0.09201693199997862,6.615981688999909,5.906996497000023,0.04620363699996233,2.3018172890000415,11.446513007000021,0.1145034853478803,0.015583538477943627,/home/ubuntu/open-vocab-grasping/outputs/20260815_001832_675251_run_seed19
open-vocab-graspnet_bowl_seed20,open-vocab-graspnet,bowl,20,True,,True,True,True,287,5,True,True,True,0.6120388169998705,5.680911308999953,5.504263065000032,0.0990453910000042,2.4375936239999874,11.260496369999942,0.11477398519711471,0.023407617890847526,/home/ubuntu/open-vocab-grasping/outputs/20260815_001845_860692_run_seed20
open-vocab-graspnet_bowl_seed21,open-vocab-graspnet,bowl,21,False,object_not_lifted,True,True,True,366,4,True,False,False,0.6810478869998633,5.764755756999989,5.522661177000032,0.08606405699993047,2.4193299270000352,11.399560060999988,-9.413026219595721e-08,0.13942477387410426,/home/ubuntu/open-vocab-grasping/outputs/20260815_001858_391600_run_seed21
open-vocab-graspnet_bowl_seed22,open-vocab-graspnet,bowl,22,True,,True,True,True,205,3,True,True,True,0.6565468850000116,5.67061046799995,5.525368187000026,0.06934130699994512,2.4449372330000188,11.298854873999971,0.11410339817242135,0.02273256312145739,/home/ubuntu/open-vocab-grasping/outputs/20260815_001911_125073_run_seed22
open-vocab-graspnet_bowl_seed23,open-vocab-graspnet,bowl,23,False,object_not_lifted,True,True,True,314,4,True,False,False,0.6231722060000493,5.719031635999954,5.51463525600002,0.09414025399996717,2.4088533279999638,11.465973544000008,-7.206572921469867e-07,0.2575959577955687,/home/ubuntu/open-vocab-grasping/outputs/20260815_001923_668305_run_seed23
open-vocab-graspnet_bowl_seed24,open-vocab-graspnet,bowl,24,True,,True,True,True,281,5,True,True,True,0.6194955749999735,5.715645263000056,5.5346359190000385,0.10136564300000828,2.4367362709999725,11.30922969400001,0.1138134510606884,0.022557531904318567,/home/ubuntu/open-vocab-grasping/outputs/20260815_001936_442272_run_seed24
open-vocab-graspnet_bowl_seed25,open-vocab-graspnet,bowl,25,True,,True,True,True,237,2,True,True,True,0.6785683340000332,5.675141599999961,5.514582367000003,0.05302017799999703,2.432756065000035,11.271870454000009,0.11433025868992226,0.023144524519100595,/home/ubuntu/open-vocab-grasping/outputs/20260815_001949_033939_run_seed25
open-vocab-graspnet_bowl_seed26,open-vocab-graspnet,bowl,26,True,,True,True,True,365,5,True,True,True,0.6675435739999784,5.773146832999942,5.531940598999995,0.09914754999999786,2.4131907749999755,11.398862538000003,0.11540825489784652,0.02286586072630083,/home/ubuntu/open-vocab-grasping/outputs/20260815_002001_580444_run_seed26
open-vocab-graspnet_bowl_seed27,open-vocab-graspnet,bowl,27,False,object_not_lifted,True,True,True,266,4,True,False,False,0.6823680259998355,5.724490532999994,5.545891226000094,0.0823518749999721,2.4085699700000305,11.325984192999954,4.249727157575045e-07,0.24357311713274052,/home/ubuntu/open-vocab-grasping/outputs/20260815_002014_324537_run_seed27
open-vocab-graspnet_bowl_seed28,open-vocab-graspnet,bowl,28,False,no_accepted_candidate,True,False,True,277,0,False,False,False,0.6613086770001928,5.7768799850000505,5.5894719090000535,0.030759472999989157,1.7739999975674436e-06,8.931916686999898,,,/home/ubuntu/open-vocab-grasping/outputs/20260815_002026_922010_run_seed28
open-vocab-graspnet_bowl_seed29,open-vocab-graspnet,bowl,29,False,object_not_lifted,True,True,True,235,5,True,False,False,0.7642673840000498,6.011501378000048,5.84505510200006,0.10637009000004127,2.4509109499999795,11.884558943000002,1.286010964975104e-07,0.13896513344037814,/home/ubuntu/open-vocab-grasping/outputs/20260815_002036_404729_run_seed29
open-vocab-graspnet_box_seed30,open-vocab-graspnet,box,30,True,,True,True,True,1006,2,True,True,True,0.4951639839997597,6.978031230000056,6.228084171000091,0.03455726400000003,2.494402674000071,12.666261287999987,0.12195288651506919,0.03179554465913559,/home/ubuntu/open-vocab-grasping/outputs/20260815_002049_596867_run_seed30
open-vocab-graspnet_box_seed31,open-vocab-graspnet,box,31,True,,True,True,True,1012,1,True,True,True,0.45585692300005576,6.661590338999986,5.937844770999959,0.020624481000027117,2.326402250000001,12.227369641999985,0.1169631805188157,0.017274147951386886,/home/ubuntu/open-vocab-grasping/outputs/20260815_002104_036588_run_seed31
open-vocab-graspnet_box_seed32,open-vocab-graspnet,box,32,True,,True,True,True,1007,1,True,True,True,0.44878618700022344,6.6142204340000035,5.910752323999986,0.01798147700003483,2.42732579799997,12.056164115000001,0.1245261109872142,0.03761198024110786,/home/ubuntu/open-vocab-grasping/outputs/20260815_002118_033682_run_seed32
open-vocab-graspnet_box_seed33,open-vocab-graspnet,box,33,False,no_accepted_candidate,True,True,True,1003,0,False,False,False,0.4374140530001114,6.648270453999999,5.944422265999947,0.02862344999994093,1.720000000204891e-06,9.670909610999956,,,/home/ubuntu/open-vocab-grasping/outputs/20260815_002131_853024_run_seed33
open-vocab-graspnet_box_seed34,open-vocab-graspnet,box,34,False,object_not_lifted,True,True,True,1014,1,True,False,False,0.43859389499993995,6.706334607999906,5.9903078989999585,0.019331968000074085,2.3583953320001,12.064835473000016,0.009999829304217785,0.12327047884301522,/home/ubuntu/open-vocab-grasping/outputs/20260815_002142_547961_run_seed34
open-vocab-graspnet_box_seed35,open-vocab-graspnet,box,35,True,,True,True,True,1008,3,True,True,True,0.43849239000019224,6.643716414999972,5.927532924999923,0.04523466400007692,2.340087562000008,12.007466539000006,0.10894897786733602,0.034849704129147105,/home/ubuntu/open-vocab-grasping/outputs/20260815_002156_354908_run_seed35
open-vocab-graspnet_box_seed36,open-vocab-graspnet,box,36,True,,True,True,True,1008,1,True,True,True,0.45620614700010265,6.610810522000065,5.898445012000025,0.017990362999967147,2.3252323350000097,12.123405681000008,0.10268095791836827,0.02789211418994878,/home/ubuntu/open-vocab-grasping/outputs/20260815_002210_110708_run_seed36
open-vocab-graspnet_box_seed37,open-vocab-graspnet,box,37,False,no_accepted_candidate,True,True,True,1014,0,False,False,False,0.4775372009999046,6.649853926000105,5.935123078999936,0.004624258000035297,2.1240000478428556e-06,9.708533274999922,,,/home/ubuntu/open-vocab-grasping/outputs/20260815_002224_003758_run_seed37
open-vocab-graspnet_box_seed38,open-vocab-graspnet,box,38,False,detection_failed,False,False,True,1011,0,False,False,False,0.4840137209999966,7.011724375999961,6.2751384389999885,0.0019034660000443182,1.0019999763244414e-06,10.00763258699999,,,/home/ubuntu/open-vocab-grasping/outputs/20260815_002234_775333_run_seed38
open-vocab-graspnet_box_seed39,open-vocab-graspnet,box,39,True,,True,True,True,992,2,True,True,True,0.47620316799998363,6.831500053000013,6.139942910000059,0.03634390699994583,2.445398931999989,12.446888023000042,0.11753824828141804,0.01947899226545921,/home/ubuntu/open-vocab-grasping/outputs/20260815_002245_536149_run_seed39
